STATE,FIRE_YEAR,FIRE_COUNT
Nevada,1998,638
Nevada,1999,1047
Nevada,2000,977
Nevada,2001,1118
Nevada,2002,649
Nevada,2003,664
Nevada,2004,776
Nevada,2005,749
Nevada,2006,1049
Nevada,2007,698
Nevada,2008,447
Nevada,2009,570
Nevada,2010,353
Nevada,2011,721
Nevada,2012,838
Nevada,2013,657
Nevada,2014,542
Nevada,2015,526
New York,1992,364
New York,1993,304
New York,1994,129
New York,1995,487
New York,1996,107
New York,1997,365
New York,1998,310
New York,1999,711
New York,2000,1756
New York,2001,3262
New York,2002,3512
New York,2003,4934
New York,2004,4062
New York,2005,7700
New York,2006,6631
New York,2007,6319
New York,2008,7156
New York,2009,5764
New York,2010,6181
New York,2011,3740
New York,2012,3944
New York,2013,2890
New York,2014,4358
New York,2015,5884
Ohio,1992,21
Ohio,1993,18
Ohio,1994,28
Ohio,1995,47
Ohio,1996,9
Ohio,1997,22
Ohio,1998,27
Ohio,1999,40
Ohio,2000,28
Ohio,2001,86
Ohio,2002,142
Ohio,2003,63
Ohio,2004,72
Ohio,2005,100
Ohio,2006,222
Ohio,2007,259
Ohio,2008,116
Ohio,2009,244
Ohio,2010,180
Ohio,2011,79
Ohio,2012,204
Ohio,2013,323
Ohio,2014,612
Ohio,2015,537
Oklahoma,1992,1468
Oklahoma,1993,2300
Oklahoma,1994,1913
Oklahoma,1995,2603
Oklahoma,1996,2689
Oklahoma,1997,914
Oklahoma,1998,816
Oklahoma,1999,1665
Oklahoma,2000,1643
Oklahoma,2001,1290
Oklahoma,2002,1535
Oklahoma,2003,1639
Oklahoma,2004,1688
Oklahoma,2005,2768
Oklahoma,2006,3265
Oklahoma,2007,1334
Oklahoma,2008,2165
Oklahoma,2009,2049
Oklahoma,2010,2146
Oklahoma,2011,2542
Oklahoma,2012,1655
Oklahoma,2013,795
Oklahoma,2014,1172
Oklahoma,2015,1185
Oregon,1992,3957
Oregon,1993,1852
Oregon,1994,3473
Oregon,1995,2264
Oregon,1996,2875
Oregon,1997,2142
Oregon,1998,2575
Oregon,1999,2927
Oregon,2000,1938
Oregon,2001,3368
Oregon,2002,2759
Oregon,2003,2615
Oregon,2004,2270
Oregon,2005,1746
Oregon,2006,3184
Oregon,2007,2512
Oregon,2008,2668
Oregon,2009,2304
Oregon,2010,1925
Oregon,2011,1968
Oregon,2012,1657
Oregon,2013,2562
Oregon,2014,3047
Oregon,2015,2500
Pennsylvania,1992,17
Pennsylvania,1993,19
Pennsylvania,1994,20
Pennsylvania,1995,22
Pennsylvania,1996,12
Pennsylvania,1997,12
Pennsylvania,1998,18
Pennsylvania,1999,30
Pennsylvania,2000,14
Pennsylvania,2001,35
Pennsylvania,2002,628
Pennsylvania,2003,407
Pennsylvania,2004,193
Pennsylvania,2005,783
Pennsylvania,2006,874
Pennsylvania,2007,514
Pennsylvania,2008,652
Pennsylvania,2009,633
Pennsylvania,2010,583
Pennsylvania,2011,201
Pennsylvania,2012,724
Pennsylvania,2013,639
Pennsylvania,2014,875
Pennsylvania,2015,807
Puerto Rico,1992,4
Puerto Rico,1993,1
Puerto Rico,1994,4
Puerto Rico,1996,3
Puerto Rico,1997,6
Puerto Rico,1998,1
Puerto Rico,2002,1
Puerto Rico,2003,3622
Puerto Rico,2004,1885
Puerto Rico,2005,4274
Puerto Rico,2006,2529
Puerto Rico,2007,3693
Puerto Rico,2008,17
Puerto Rico,2009,1690
Puerto Rico,2010,1750
Puerto Rico,2011,2490
Puerto Rico,2012,8
Puerto Rico,2013,33
Puerto Rico,2014,42
Puerto Rico,2015,28
Rhode Island,1994,1
Rhode Island,2005,18
Rhode Island,2006,25
Rhode Island,2007,21
Rhode Island,2008,135
Rhode Island,2009,47
Rhode Island,2011,34
Rhode Island,2012,49
Rhode Island,2013,19
Rhode Island,2014,46
Rhode Island,2015,85
South Carolina,1992,5195
South Carolina,1993,5287
South Carolina,1994,4489
South Carolina,1995,3520
South Carolina,1996,4414
South Carolina,1997,3070
South Carolina,1998,3508
South Carolina,1999,5384
South Carolina,2000,4995
South Carolina,2001,6225
South Carolina,2002,4683
South Carolina,2003,1315
South Carolina,2004,3058
South Carolina,2005,2704
South Carolina,2006,2855
South Carolina,2007,3998
South Carolina,2008,2744
South Carolina,2009,1757
South Carolina,2010,2144
South Carolina,2011,3181
South Carolina,2012,1971
South Carolina,2013,1626
South Carolina,2014,1893
South Carolina,2015,1299
South Dakota,1992,554
South Dakota,1993,438
South Dakota,1994,882
South Dakota,1995,665
South Dakota,1996,839
South Dakota,1997,607
South Dakota,1998,816
South Dakota,1999,1409
South Dakota,2000,2271
South Dakota,2001,1338
South Dakota,2002,1962
South Dakota,2003,1730
South Dakota,2004,1377
South Dakota,2005,1762
South Dakota,2006,2646
South Dakota,2007,1627
South Dakota,2008,1190
South Dakota,2009,984
South Dakota,2010,698
South Dakota,2011,1431
South Dakota,2012,2726
South Dakota,2013,1022
South Dakota,2014,1023
South Dakota,2015,966
Tennessee,1992,55
Tennessee,1993,65
Tennessee,1994,73
Tennessee,1995,106
Tennessee,1996,56
Tennessee,1997,1394
Tennessee,1998,1836
Tennessee,1999,3454
Tennessee,2000,2674
Tennessee,2001,2521
Tennessee,2002,1485
Tennessee,2003,31
Tennessee,2004,69
Tennessee,2005,2041
Tennessee,2006,2183
Tennessee,2007,3393
Tennessee,2008,1429
Tennessee,2009,1477
Tennessee,2010,1904
Tennessee,2011,1195
Tennessee,2012,1203
Tennessee,2013,638
Tennessee,2014,1260
Tennessee,2015,612
Texas,1992,1168
Texas,1993,1457
Texas,1994,907
Texas,1995,1648
Texas,1996,2843
Texas,1997,770
Texas,1998,2026
Texas,1999,1775
Texas,2000,2627
Texas,2001,771
Texas,2002,1229
Texas,2003,1147
Texas,2004,1040
Texas,2005,6901
Texas,2006,15022
Texas,2007,5477
Texas,2008,18067
Texas,2009,14142
Texas,2010,9351
Texas,2011,19453
Texas,2012,7623
Texas,2013,9735
Texas,2014,8538
Texas,2015,8304
Utah,1992,1092
Utah,1993,710
Utah,1994,1663
Utah,1995,1151
Utah,1996,1666
Utah,1997,862
Utah,1998,873
