ID,STATE,FIRE_YEAR,FIRE_COUNT,FIRE_AREA,NUM_BURNED_ACRES_PER_10K_ACRE
408,Louisiana,1995,117,7271.9,2.81
409,Louisiana,1996,135,8248.7,3.18
410,Louisiana,1997,1180,21629.4,8.34
411,Louisiana,1998,2026,34095.6,13.15
412,Louisiana,1999,2462,37589.0,14.5
413,Louisiana,2000,3833,91068.1,35.13
414,Louisiana,2001,822,26561.399999999998,10.25
415,Louisiana,2002,1295,24621.099999999984,9.5
416,Louisiana,2003,89,17358.9,6.7
417,Louisiana,2004,69,15112.5,5.83
418,Louisiana,2005,2923,66226.8,25.55
419,Louisiana,2006,2755,41863.499999999985,16.15
420,Louisiana,2007,58,771.0,0.3
421,Louisiana,2008,1120,24219.29999999999,9.34
422,Louisiana,2009,1182,35196.90000000001,13.58
423,Louisiana,2010,1832,43554.99999999998,16.8
424,Louisiana,2011,178,37830.5,14.59
425,Louisiana,2012,639,10455.299999999997,4.03
426,Louisiana,2013,814,22680.19999999996,8.75
427,Louisiana,2014,708,37533.90000000006,14.48
428,Louisiana,2015,839,20256.399999999994,7.81
429,Maine,1992,259,4314.300000000001,2.33
430,Maine,1993,256,1329.2999999999995,0.72
431,Maine,1994,207,1953.0999999999995,1.06
432,Maine,1995,263,1015.2999999999994,0.55
433,Maine,1996,96,364.99999999999994,0.2
434,Maine,1997,200,817.0,0.44
435,Maine,1998,185,1464.9999999999993,0.79
436,Maine,1999,220,966.7999999999997,0.52
437,Maine,2000,95,394.6,0.21
438,Maine,2001,267,2110.099999999999,1.14
439,Maine,2002,133,696.7,0.38
440,Maine,2003,188,782.9000000000001,0.42
441,Maine,2004,126,745.8999999999999,0.4
442,Maine,2005,157,668.3000000000003,0.36
443,Maine,2006,212,1762.2999999999995,0.95
444,Maine,2007,122,437.90000000000003,0.24
445,Maine,2008,121,486.49999999999994,0.26
446,Maine,2009,116,413.40000000000003,0.22
447,Maine,2010,89,223.59999999999997,0.12
448,Maine,2011,51,120.49999999999997,0.07
449,Maine,2012,124,397.6000000000002,0.21
450,Maine,2013,118,655.0999999999999,0.35
451,Maine,2014,66,171.70000000000002,0.09
452,Maine,2015,95,536.1999999999999,0.29
453,Maryland,1992,9,1160.0,1.99
454,Maryland,1993,10,1672.8,2.87
455,Maryland,1994,11,786.0,1.35
456,Maryland,1995,22,1302.1,2.24
457,Maryland,1996,14,311.0,0.53
458,Maryland,1997,14,180.7,0.31
459,Maryland,1998,12,542.4,0.93
460,Maryland,1999,20,1624.1,2.79
461,Maryland,2000,10,208.8,0.36
462,Maryland,2001,19,5878.0,10.09
463,Maryland,2002,12,1785.5,3.07
464,Maryland,2003,4,1373.0,2.36
465,Maryland,2004,19,6338.1,10.88
466,Maryland,2005,141,3983.3999999999996,6.84
467,Maryland,2006,213,6737.200000000005,11.57
468,Maryland,2007,184,7242.100000000006,12.43
469,Maryland,2008,144,2724.7999999999993,4.68
470,Maryland,2009,70,4571.600000000002,7.85
471,Maryland,2010,80,3561.5,6.12
472,Maryland,2011,84,10237.300000000005,17.58
473,Maryland,2012,85,1423.799999999999,2.44
474,Maryland,2013,60,413.39999999999986,0.71
475,Maryland,2014,55,1767.1999999999998,3.03
476,Maryland,2015,65,1027.3000000000002,1.76
477,Massachusetts,1992,3,5.0,0.01
478,Massachusetts,1993,1,0.8,0.0
479,Massachusetts,1995,2,6.0,0.01
480,Massachusetts,1996,1,1.5,0.0
481,Massachusetts,1997,3,4.6,0.01
482,Massachusetts,1998,1,3.0,0.01
483,Massachusetts,1999,1,0.6,0.0
484,Massachusetts,2000,3,5.8,0.01
485,Massachusetts,2001,10,267.5,0.57
486,Massachusetts,2002,58,500.3,1.07
487,Massachusetts,2003,30,384.3,0.82
488,Massachusetts,2004,35,191.0,0.41
489,Massachusetts,2005,12,825.0,1.76
490,Massachusetts,2006,10,16.7,0.04
491,Massachusetts,2007,15,202.3,0.43
492,Massachusetts,2008,5,847.0,1.81
493,Massachusetts,2009,1,1.0,0.0
494,Massachusetts,2010,2,322.0,0.69
495,Massachusetts,2012,2,2.0,0.0
496,Massachusetts,2013,3,17.4,0.04
497,Massachusetts,2014,3,372.5,0.8
498,Massachusetts,2015,378,1676.2999999999997,3.58
499,Michigan,1992,363,2934.799999999999,0.87
500,Michigan,1993,160,985.3,0.29
501,Michigan,1994,429,6657.4,1.96
502,Michigan,1995,366,4813.599999999999,1.42
503,Michigan,1996,241,2892.3,0.85
504,Michigan,1997,75,541.8,0.16
505,Michigan,1998,97,3938.5,1.16
506,Michigan,1999,94,10015.5,2.95
507,Michigan,2000,72,6002.3,1.77
508,Michigan,2001,227,1418.9999999999998,0.42
509,Michigan,2002,163,935.8000000000001,0.28
510,Michigan,2003,484,7004.800000000003,2.06
511,Michigan,2004,244,2697.4999999999986,0.8
512,Michigan,2005,362,4457.5999999999985,1.31
513,Michigan,2006,315,7780.800000000003,2.29
514,Michigan,2007,271,23041.59999999998,6.79
515,Michigan,2008,231,2570.2,0.76
516,Michigan,2009,253,3160.8999999999987,0.93
517,Michigan,2010,294,11990.000000000013,3.53
518,Michigan,2011,147,1802.7,0.53
519,Michigan,2012,326,28249.1,8.33
520,Michigan,2013,203,922.1000000000007,0.27
521,Michigan,2014,117,647.3999999999999,0.19
522,Michigan,2015,292,3761.4999999999995,1.11
523,Minnesota,1992,955,30022.999999999996,6.28
524,Minnesota,1993,857,18965.199999999997,3.97
525,Minnesota,1994,1160,36947.10000000002,7.73
526,Minnesota,1995,1061,45897.29999999998,9.61
527,Minnesota,1996,971,29451.6,6.16
528,Minnesota,1997,1298,20398.600000000002,4.27
529,Minnesota,1998,1246,48850.80000000001,10.22
530,Minnesota,1999,1132,32602.3,6.82
531,Minnesota,2000,1512,68901.89999999997,14.42
532,Minnesota,2001,602,22975.199999999997,4.81
533,Minnesota,2002,966,64119.29999999999,13.42
534,Minnesota,2003,1767,156392.70000000024,32.73
535,Minnesota,2004,1027,45445.49999999998,9.51
536,Minnesota,2005,814,22243.89999999999,4.66
537,Minnesota,2006,1192,72122.59999999995,15.1
538,Minnesota,2007,832,164202.20000000027,34.37
539,Minnesota,2008,547,21061.29999999999,4.41
540,Minnesota,2009,553,11561.500000000002,2.42
541,Minnesota,2010,960,35432.49999999998,7.42
542,Minnesota,2011,505,138906.40000000002,29.07
543,Minnesota,2012,1051,64616.99999999995,13.52
544,Minnesota,2013,523,21805.000000000007,4.56
545,Minnesota,2014,385,3847.4,0.81
546,Minnesota,2015,811,28728.900000000012,6.01
547,Mississippi,1992,4433,60816.8,21.6
548,Mississippi,1993,3974,54097.8,19.22
549,Mississippi,1994,3327,54471.2,19.35
550,Mississippi,1995,4948,68002.2,24.15
551,Mississippi,1996,4888,101698.70000000001,36.12
552,Mississippi,1997,2758,32348.7,11.49
553,Mississippi,1998,3398,39651.0,14.08
554,Mississippi,1999,5379,66111.5,23.48
555,Mississippi,2000,3406,52992.6,18.82
556,Mississippi,2001,2394,32205.9,11.44
557,Mississippi,2002,2373,34363.1,12.21
558,Mississippi,2003,1887,24738.2,8.79
559,Mississippi,2004,2779,41795.299999999996,14.85
560,Mississippi,2005,3478,55592.0,19.75
561,Mississippi,2006,5463,131111.1,46.57
562,Mississippi,2007,2718,52517.2,18.65
563,Mississippi,2008,1954,36335.5,12.91
564,Mississippi,2009,1908,26993.0,9.59
565,Mississippi,2010,2847,36531.6,12.98
566,Mississippi,2011,1537,29011.600000000002,10.3
567,Mississippi,2012,1185,12717.4,4.52
568,Mississippi,2013,1456,22012.100000000002,7.82
569,Mississippi,2014,2209,33233.3,11.8
570,Mississippi,2015,2093,35368.7,12.56
571,Missouri,1992,1664,28711.7,6.96
572,Missouri,1993,886,14993.6,3.64
573,Missouri,1994,1580,36241.6,8.79
574,Missouri,1995,2018,50183.6,12.17
575,Missouri,1996,417,8532.3,2.07
576,Missouri,1997,1304,23937.0,5.8
577,Missouri,1998,502,10977.7,2.66
578,Missouri,1999,1164,35486.8,8.6
579,Missouri,2000,654,17228.1,4.18
580,Missouri,2001,824,17069.3,4.14
581,Missouri,2002,648,20529.9,4.98
582,Missouri,2003,218,3252.899999999999,0.79
583,Missouri,2004,225,8199.5,1.99
584,Missouri,2005,318,18163.2,4.4
585,Missouri,2006,301,24268.399999999998,5.88
586,Missouri,2007,286,14207.5,3.44
587,Missouri,2008,91,5923.400000000001,1.44
588,Missouri,2009,202,17988.600000000002,4.36
589,Missouri,2010,167,14465.0,3.51
590,Missouri,2011,731,31841.9,7.72
591,Missouri,2012,181,18715.0,4.54
592,Missouri,2013,404,3882.9999999999995,0.94
593,Missouri,2014,1239,22452.600000000002,5.44
594,Missouri,2015,608,11977.5,2.9
595,Montana,1992,564,38430.99999999999,4.4
596,Montana,1993,194,12521.800000000001,1.43
597,Montana,1994,959,265353.79999999993,30.39
598,Montana,1995,358,25081.799999999992,2.87
599,Montana,1996,740,208621.40000000005,23.89
600,Montana,1997,309,11226.600000000002,1.29
601,Montana,1998,711,101171.79999999997,11.59
602,Montana,1999,686,117248.40000000001,13.43
